	Diodesignal	MinusDiode	PlusDiode	ReferenzDiode	chopper	StagePosition	Loops	MagneticField
108	-0.6091414335699477	0.14462798358921658	0.017387356402144106	-0.10205170619984427	1	247.02643171806167	1	5.274963703031238
109	-0.43565255565285504	0.14506869758035593	0.01776683757644826	-0.10105184207967513	0	247.02643171806167	1	5.274963703031238
110	-0.6428596533209102	0.144685993474594	0.017205269894797065	-0.10204364927731371	1	249.02907488986784	1	5.274963703031238
111	-0.4517881506470246	0.14534021607212907	0.01772816433642002	-0.10107279007933359	0	249.02907488986784	1	5.274963703031238
112	-0.6965211773322842	0.14486485728741877	0.017569442910246806	-0.10200014189430646	1	251.031718061674	1	5.274963703031238
113	-0.4475042860197114	0.1453377989931046	0.017966649319833005	-0.10140795806837774	0	251.031718061674	1	5.274963703031238
114	-0.6761540808831491	0.1450695032736035	0.01785062959828612	-0.10203800943095531	1	253.03436123348015	1	5.274963703031238
115	-0.44602020114409086	0.1456101231802478	0.018295371866536216	-0.10136525637763202	0	253.03436123348015	1	5.274963703031238
116	-0.6409864189280183	0.1447842880024608	0.017906222381178536	-0.1022579634230494	1	255.03700440528635	1	5.274963703031238
117	-0.40189325276509763	0.14539016902882643	0.018362244344889617	-0.10123151145877635	0	255.03700440528635	1	5.274963703031238
118	-0.6581815028741979	0.1457124461730231	0.018088308889739252	-0.10228616265293379	1	257.0396475770925	1	5.274963703031238
119	-0.3763689284778136	0.14621842128683435	0.018567695936695577	-0.1014079580683159	0	257.0396475770925	1	5.274963703031238
120	-0.6652232535650436	0.14601055252978623	0.018126176437770366	-0.1020702371225546	1	259.04229074889867	1	5.274963703031238
121	-0.38059558898711365	0.14668088898749387	0.018632957030361337	-0.1012935497642978	0	259.04229074889867	1	5.274963703031238
122	-0.6647100275573142	0.14602586069321496	0.018182574913988857	-0.1018672026679664	1	261.04493392070486	1	5.274963703031238
123	-0.36558554601607873	0.1466043481655392	0.0185717243989674	-0.10108568115574108	0	261.04493392070486	1	5.274963703031238
124	-0.7144252728104908	0.14645046082991098	0.018437979441510294	-0.10199369635535271	1	263.047577092511	1	5.274963703031238
125	-0.39403775522268353	0.14701847429503487	0.018975376349814912	-0.10129918961028386	0	263.047577092511	1	5.274963703031238
126	-0.7233185049481335	0.1454892692507469	0.018235750619797556	-0.10219673080982006	1	265.0502202643172	1	5.274963703031238
127	-0.3882222699719802	0.14609917874254127	0.018702246586490535	-0.10116544469159658	0	265.0502202643172	1	5.274963703031238
128	-0.7490007567951529	0.14495751196700699	0.01790380530370907	-0.10202270127744319	1	267.05286343612335	1	5.274963703031238
129	-0.40089016614625356	0.14538211210137864	0.018336462184544936	-0.1011324113079895	0	267.05286343612335	1	5.274963703031238
